單字,KK 音標,詞性,中文意思,實用造句與用法說明
steel,[stil],名詞 / 形容詞,鋼鐵 / 鋼製的,The hygienic pipes are made of stainless steel.（這些衛生級管路是由不鏽鋼製成的。）
step,[stɛp],名詞 / 動詞的動作,腳步 / 步驟,Take one step forward to check the valve position.（向前走一步以檢查閥門位置。）
stick,[stɪk],名詞,棍棒 / 枝條,The old man used a wooden stick to help him walk.（老人使用一根木棍來幫助他行走。）
sticky,[ˈstɪki],形容詞,黏的,Keep away from the sticky paint on the wall.（遠離牆上未乾的黏油漆。）
still,[stɪl],副詞 / 形容詞,仍然 / 靜止的,The baby is still awake in his small bed.（寶寶在小床上仍然醒著。）
stitch,[stɪtʃ],名詞,一針 / 縫線,The doctor put a stitch in the small cut.（醫生在小傷口上縫了一針。）
stocking,[ˈstɑkɪŋ],名詞,長襪,She bought a pair of black stockings yesterday.（她昨天買了一雙黑色長襪。）
stomach,[ˈstʌmək],名詞,胃 / 腹部,He felt a slight pain in his stomach after the meal.（飯後他覺得胃部有一點痛。）
stone,[ston],名詞 / 形容詞,石頭 / 石製的,They walked across the old stone bridge over the river.（他們走過了河上那座古老的石橋。）
stop,[stɑp],名詞 / 動詞的動作,停止 / 車站,The train came to a sudden stop at the station.（火車在車站突然停了下來。）
store,[stor],名詞,商店 / 倉庫,He runs a small clothing store in the town.（他在鎮上經營一家小型服裝店。）
story,[ˈstori],名詞,故事,My father told an interesting story about history.（我父親講了一個關於歷史的有趣故事。）
strange,[strendʒ],形容詞,奇怪的 / 陌生的,We heard a strange noise from the broken engine.（我們從壞掉的引擎裡聽到一聲奇怪的巨響。）
street,[strit],名詞,街道,The car could not pass through the narrow street.（汽車無法通過那條狹窄的街道。）
stretch,[strɛtʃ],名詞 / 動詞的動作,伸展 / 延展,Give a long stretch to the elastic band.（把這條橡皮筋用力伸展拉長。）
stiff,[stɪf],形容詞,硬的 / 僵硬的,His muscles felt stiff after the heavy strength training.（重量力量訓練後，他的肌肉感到僵硬。）
straight,[stret],形容詞 / 副詞,直的 / 筆直地,Draw a straight line on the paper with a pencil.（用鉛筆在紙上畫一條直線。）
strong,[strɔŋ],形容詞,強壯的 / 強烈的,The strong force of the wind broke the window glass.（強風的力量吹碎了窗戶玻璃。）
structure,[ˈstrʌktʃɚ],名詞,結構 / 建築物,Engineers checked the steel structure of the building.（工程師檢查了大樓的鋼骨結構。）
substance,[ˈsʌbstəns],名詞,物質,Water is a natural substance necessary for life.（水是生命必需的天然物質。）
such,[sʌtʃ],形容詞 / 代名詞,這樣的 / 如此的,I have never seen such a beautiful blue bird.（我從未見過如此美麗的藍鳥。）
sudden,[ˈsʌdn],形容詞,突然的,A sudden burst of noise came from the factory.（工廠裡突然傳出一陣巨大的噪音。）
sugar,[ˈʃʊɡɚ],名詞,糖,Eating too much sugar is bad for your teeth.（吃太多糖對你的牙齒不好。）
suggestion,[səˈdʒɛstʃən],名詞,建議,The manager approved his suggestion for a new pump.（經理批准了他關於更換新泵浦的建議。）
summer,[ˈsʌmɚ],名詞,夏天,The extreme heat of the summer made us tired.（夏天的高溫讓我們感到疲倦。）
sun,[sʌn],名詞,太陽,The sun rises in the east and gives us light.（太陽從東方升起並給予我們光芒。）
support,[səˈpɔrt],名詞 / 動詞的動作,支持 / 支撐,The wooden stick gave strong support to the old man.（那根木棍給予了老人有力的支撐。）
surprise,[sɚˈpraɪz],名詞 / 動詞的動作,驚喜 / 震驚,"To our great surprise, he passed the hard test.（讓我們非常驚喜的是，他通過了這場硬核測試。）"
sweet,[swit],形容詞,甜的,She ate a sweet red apple after her dinner.（她晚飯後吃了一個甜甜的紅蘋果。）
swim,[swɪm],名詞 / 動詞的動作,游泳,He takes a short swim in the pool every morning.（他每天早晨都會在泳池裡短暫游泳一下。）
system,[ˈsɪstəm],名詞,系統,The factory has a complex system of hygienic pipes.（這家工廠有一套複雜的衛生級管路系統。）
table,[ˈtebl],名詞,桌子 / 表格,Place the important document right on the table.（將重要文件直接放在桌上。）
tail,[tel],名詞,尾巴,The brown dog wagged its tail when it saw me.（棕色狗看到我時搖了搖尾巴。）
take,[tek],動詞,拿 / 帶領 / 花費,Please take this record to the supervisor's office.（請將這份紀錄拿去主管辦公室。基本英語 18 個核心動詞之一。）
talk,[tɔk],名詞 / 動詞的動作,談話 / 討論,We had a long talk about the new project plan.（我們針對新專案計劃進行了長期的談話。）
tall,[tɔl],形容詞,高的（指人或物體高聳）,That tall building near the station is a hospital.（車站附近那棟高大的建築物是一所醫院。）
taste,[test],名詞 / 動詞的動作,味道 / 嚐起來,Lemon juice has a very acid taste.（檸檬汁有一種非常酸的味道。）
tax,[tæks],名詞,稅 / 稅款,Everyone must pay a certain amount of tax to the government.（每個人都必須向政府繳納一定數額的稅款。）
teaching,[ˈtʃitʃɪŋ],名詞,教學 / 教導,Teaching young children requires a lot of care.（教導幼兒需要高度的細心與照顧。）
tendency,[ˈtɛndənsi],名詞,傾向 / 趨勢,There is a steady tendency for gold prices to increase.（黃金價格有穩定上漲的趨勢。）
test,[tɛst],名詞,測試 / 檢驗,Run an external balance communication test today.（今天執行一次外部天平通訊測試。）
than,[ðæn],連接詞,比 / 較之,My older brother has more experience than me.（我哥哥的經驗比我豐富。）
that,[ðæt],形容詞 / 代名詞 / 連接詞,那個 / 那,Please put that manual back into the drawer.（請將那本手冊放回抽屜裡。）
the,[ðə] / [ði],冠詞,這 / 那（定冠詞）,The manager signed the validation record yesterday.（經理昨天簽署了那份驗證紀錄。）
then,[ðɛn],副詞,然後 / 那時,"We will check the valve position, then start the pump.（我們會先檢查閥門位置，然後啟動泵浦。）"
theory,[ˈθɪəri],名詞,理論,Scientists developed a new theory about the physical world.（科學家們發展出了一套關於物理世界的新理論。）
there,[ðɛr],副詞,那裡 / 有,Put the heavy box over there near the straight wall.（把沉重的箱子放在那裡，靠近筆直的牆面。）
thick,[θɪk],形容詞,厚的 / 濃的,"The tents are made of strong, thick canvas.（這些帳篷是由堅固、厚實的帆布製成的。）"
thin,[θɪn],形容詞,薄的 / 瘦的,This sharp knife has a thin steel blade.（這把鋒利的刀子有一個薄鋼刀刃。）
thing,[θɪŋ],名詞,事情 / 東西,Reading books is a good thing for everyone.（讀書對每個人來說都是件好事。）
this,[ðɪs],形容詞 / 代名詞,這個,This automatic machine is used for packing food.（這台自動化機器是用來包裝食物的。）
though,[ðo],連接詞,雖然 / 儘管,"Though it was raining heavily, he went to the library.（雖然下著大雨，他還是去了圖書館。）"
thought,[θɔt],名詞,想法 / 思想,He expressed his thoughts clearly during the discussion.（他在討論中清楚表達了他的想法。）
thread,[θrɛd],名詞,線,She used a long blue thread to fix the shirt.（她用一條長藍線來修補襯衫。）
throat,[θrot],名詞,喉嚨,He had a bad cough and felt pain in his throat.（他咳得很厲害，覺得喉嚨痛。）
through,[θru],介系詞,穿過 / 透過,We walked through the old stone arch into the garden.（我們穿過那座老石拱門走進花園。）
thumb,[θʌm],名詞,大拇指,He hurt his thumb while using the heavy hammer.（他使用重鐵錘時弄傷了大拇指。）
thunder,[ˈθʌndɚ],名詞,雷聲,We heard the loud sound of thunder before the rain.（下雨前我們聽到了巨大的雷聲。）
ticket,[ˈtɪkɪt],名詞,票券,He bought a train ticket to Paris yesterday.（他昨天買了一張去巴黎的火車票。）
tight,[taɪt],形容詞,緊的,Tie a tight knot at the end of the nylon cord.（在尼龍繩的盡頭打一個緊緊的結。）
till,[tɪl],連接詞 / 介系詞,直到...為止,Please wait here till the manager comes back.（請在這裡等到經理回來。）
time,[taɪm],名詞,時間 / 次數,The important project meeting will start on time.（重要的專案會議將準時開始。）
tin,[tɪn],名詞,錫 / 錫罐,Put the mixed vegetables into a clean tin.（把混合蔬菜放進一個乾淨的錫罐裡。）
tired,[ˈtaɪɚd],形容詞,疲倦的,The long journey made the old traveler very tired.（長途旅程讓老旅人感到非常疲倦。）
to,[tu],介系詞,到 / 向 / 給,Send the technical statement to the supervisor's office.（將技術聲明送到主管辦公室。）
toe,[to],名詞,腳趾,The heavy stone fell and hurt his big toe.（重石頭掉下來弄傷了他的大腳趾。）
together,[təˈɡɛðɚ],副詞,一起,They signed an agreement to work together on the project.（他們簽署了一項協議，決定一起合作這個專案。）
tomorrow,[təˈmɑro],名詞 / 副詞,明天,The validation communication test will take place tomorrow.（驗證通訊測試將在明天進行。）
tongue,[tʌŋ],名詞,舌頭,The doctor looked at his tongue and throat.（醫生檢查了他的舌頭和喉嚨。）
tooth,[tuθ],名詞,牙齒,Eating too much sugar is bad for your tooth.（吃太多糖對你的牙齒不好。）
top,[tɑp],名詞 / 形容詞,頂部 / 最上面的,Place the record manual in the top drawer of the desk.（將記錄手冊放在書桌最上面的抽屜裡。）
touch,[tʌtʃ],名詞 / 動詞的動作,接觸 / 觸碰,The light touch of his hand made the baby smile.（他手的輕輕觸碰讓寶寶露出了笑容。）
town,[taʊn],名詞,城鎮 / 鎮,He runs a small clothing business in the town.（他在鎮上經營一家小型服裝生意。）
trade,[tred],名詞,貿易 / 商業,English is a useful language for international trade.（英語是國際貿易中非常實用的語言。）
train,[tren],名詞,火車,We took a slow train through the green hills.（我們搭乘了慢火車穿過綠色山丘。）
transport,[ˈtrænspɔrt],名詞,運輸 / 交通工具,The government built a new system of public transport.（政府建造了一套新的大眾運輸系統。）
tray,[tre],名詞,托盤,She carried the cups of coffee on a wooden tray.（她用木製托盤端著幾杯咖啡。）
tree,[tri],名詞,樹木,A little bird is singing on the big tree branch.（一隻小鳥正在大樹枝上唱歌。）
trick,[trɪk],名詞,惡作劇 / 詭計 / 訣竅,The clown played a funny trick to make us laugh.（小丑玩了一個有趣的把戲讓我們大笑。）
trouble,[ˈtrʌbl],名詞,麻煩 / 困難,The broken engine caused a lot of trouble today.（壞掉的引擎今天造成了許多麻煩。）
trousers,[ˈtraʊzɚz],名詞,長褲,He wore clean brown trousers to the office meeting.（他穿著乾淨的棕色長褲出席辦公室會議。）
TRUE,[tru],形容詞,真實的 / 正確的,Please check if this technical statement is true.（請檢查這項技術陳述是否正確。）
turn,[tɝn],名詞 / 動詞的動作,轉動 / 轉變,Give a gentle turn to the handle to open the valve.（輕輕轉動手把以打開閥門。）
twist,[twɪst],名詞 / 動詞的動作,扭轉 / 纏繞,Give a strong twist to the metal wire to secure it.（用力扭轉一下金屬線以將其固定。）
umbrella,[ʌmˈbrɛlə],名詞,雨傘,Bring your umbrella; it is starting to rain heavily.（帶上你的雨傘，開始下大雨了。）
under,[ˈʌndɚ],介系詞,在...之下,The brown dog is sleeping quietly under the table.（棕色狗正安靜地在桌子底下睡覺。）
unit,[ˈjunit],名詞,單位 / 裝置,The fermentation unit is completely clean and ready.（發酵裝置已完全乾淨並準備就緒。）
up,[ʌp],介系詞 / 副詞,向上,He took one step up the stairs to the second floor.（他順著樓梯向上走了一步，前往二樓。）
use,[jus],名詞,使用 / 用途,The manager explained the proper use of this instrument.（經理說明了這台儀器的正確用途。）
value,[ˈvælju],名詞,價值,Value investing focuses on the long-term value of a stock.（價值投資專注於股票的長期價值。）
verse,[vɝs],名詞,詩句 / 韻文,He wrote a beautiful verse for his wife's birthday.（他為妻子的生日寫了一首美麗的詩句。）
very,[ˈvɛri],副詞,非常,The temperature reading on thedisplay is very low today.（顯示屏上的溫度讀數今天非常低。）
vessel,[ˈvɛsəl],名詞,容器 / 船艦 / 血管,The 500L fermenter vessel passed its technical review.（500L 的發酵槽容器通過了技術審查。）
view,[vju],名詞,景觀 / 觀點,We had a beautiful mountain view from our room balcony.（從我們房間的陽台可以看到美麗的山景。）
violent,[ˈvaɪələnt],形容詞,猛烈的 / 暴力的,The sudden storm brought a violent wind to the town.（突降的暴風雨給鎮上帶來了猛烈的狂風。）
voice,[vɔɪs],名詞,聲音（指人的說話/歌唱聲）,"She spoke in a quiet, gentle voice during the discussion.（她在討論中用溫和、輕柔的聲音說話。）"
waiting,[ˈwetɪŋ],名詞 / 形容詞,等待 / 等候的,The travelers spent an hour in the waiting room.（旅客們在候車室裡等了一個小時。）
walk,[wɔk],名詞 / 動詞的動作,散步 / 步行,Let us go for a short walk along the straight road.（讓我們沿著這條筆直的道路去短暫散步一下。）
wall,[wɔl],名詞,牆壁,Put the external balance scale near the interior wall.（將外部天平秤放在靠內牆的位置。）
war,[wɔr],名詞,戰爭,The history book describes the cause of the great war.（這本歷史書描述了那場大戰的起因。）
warm,[wɔrm],形容詞,溫暖的,A warm bath will help your stiff muscles relax.（洗個熱水澡能幫助你僵硬的肌肉放鬆。）
wash,[wɑʃ],名詞 / 動詞的動作,洗滌 / 沖洗,Give a thorough wash to the hygienic stainless steel pipes.（對衛生級不鏽鋼管路進行一次徹底的沖洗。）
waste,[west],名詞 / 形容詞,廢棄物 / 浪費的,Do not let chemical waste go down the kitchen drain.（不要讓化學廢棄物從廚房排水管流下去。）
watch,[wɑtʃ],名詞,手錶 / 看管,He looked at his automatic watch to check the time.（他看了看他的自動手錶以確認時間。）
water,[ˈwɔtɚ],名詞,水,"We need clear, fresh water for the clean-in-place process.（我們在原位清洗製程中需要清澈、新鮮的水。）"
wave,[wev],名詞,波浪 / 波動,The strong wind made large waves on the surface of the lake.（強風在湖面上激起了大波浪。）
wax,[wæks],名詞,蠟 / 蜂蠟,"The candle is made of clean, white wax.（這支蠟燭是由乾淨的白蠟製成的。）"
way,[we],名詞,方法 / 道路,Is this the right way to the public library?（這是去公共圖書館正確的路嗎？）
weather,[ˈwɛðɚ],名詞,天氣,The autumn weather brings a pleasant drop in temperature.（秋天的天氣帶來了舒適的降溫。）
week,[wik],名詞,星期 / 週,He works five days a week at the modern plant.（他每週在現代化高階工廠工作五天。）
weight,[wet],名詞,重量,Check the weight of the material on the external balance.（在外部天平上檢查材料的重量。）
well,[wɛl],副詞 / 名詞,良好地 / 水井,The automatic pump system is running very well today.（自動泵浦系統今天運行得非常良好。）
west,[wɛst],名詞 / 形容詞 / 副詞,西方 / 向西的,The sun sets in the west at the end of the day.（太陽在一天的盡頭從西方落下。）
wet,[wɛt],形容詞,濕的,Use a wet cloth to wipe the dust off the shelf.（用一塊濕布擦去架子上的灰塵。）
wheel,[hwil],名詞,車輪 / 輪子,The bicycle has a bent front wheel and cannot be used.（這輛腳踏車的前輪彎曲了，無法使用。）
when,[hwɛn],副詞 / 連接詞,當...時 / 何時,"When the bell rings, the meeting will make a start.（當鐘聲響起時，會議就會開始。）"
where,[hwɛr],副詞 / 連接詞,在哪裡 / ...的地方,This is the laboratory where we test the liquid.（這是我們測試液體的實驗室。）
while,[hwaɪl],連接詞 / 名詞,當...的時候 / 一會兒,She sang a happy song while walking down the street.（她在沿著街道行走時唱著一首快樂的歌。）
whip,[hwɪp],名詞,馬鞭 / 鞭子,The farmer used a leather whip to guide the horse carriage.（農夫使用皮鞭來引導馬車。）
whistle,[ˈhwɪsl],名詞,口哨 / 哨子 / 汽笛聲,We heard the sharp sound of a whistle from the station.（我們聽到車站傳來一聲尖銳的哨子聲。）
white,[hwaɪt],形容詞 / 名詞,白色的 / 白色,The office building is painted in a clean white color.（這棟辦公大樓外牆漆成了乾淨的白色。）
who,[hu],代名詞,誰 / ...的人,He is the engineer who reviewed the qualification checklist.（他就是審查資格驗證檢核表的那位工程師。）
why,[waɪ],副詞 / 連接詞,為什麼,Please tell the manager why the engine came to a stop.（請告訴經理為什麼引擎會停了下來。）
wide,[waɪd],形容詞,寬的 / 廣泛的,The new instrument has a wide measurement range.（這台新儀器有很寬的測量範圍。）
will,[wɪl],動詞 / 名詞,將會 / 意志 / 遺囑,The supervisor will check the safety rules tomorrow.（主管明天將會檢查安全規定。基本英語核心助動詞之一。）
wind,[wɪnd],名詞,風,The strong wind caused severe damage to the wooden roof.（強風對木製屋頂造成了嚴重的損害。）
window,[ˈwɪndo],名詞,窗戶,Close the glass window to block the cold air from the north.（關上玻璃窗以阻擋來自北方的冷空氣。）
wine,[waɪn],名詞,葡萄酒 / 酒,He pulled the cork out of the wine bottle for dinner.（他拔出酒瓶的軟木塞準備晚餐。）
wing,[wɪŋ],名詞,翅膀 / 機翼,The little bird hurt its left wing and cannot fly.（小鳥弄傷了左邊翅膀，沒辦法飛了。）
winter,[ˈwɪntɚ],名詞,冬天,The cold wind blows from the north during the winter.（冬天冷風從北方吹來。）
wire,[waɪr],名詞,金屬線 / 電線,Use strong steel wire to secure the pipe position.（使用堅固的鋼絲來固定管路位置。）
wise,[waɪz],形容詞,明智的 / 聰明的,It was a wise decision to run a regular check on the pump.（對泵浦進行常規檢查是個明智的決定。）
with,[wɪð],介系詞,具有 / 帶有 / 和...一起,Mix the white chemical powder with warm water.（將白色化學粉末與溫水混合。）
woman,[ˈwʊmən],名詞,女人 / 女性,The woman working at the library is a great expert on history.（在圖書館工作的那位女性是一位了不起的歷史專家。）
wood,[wʊd],名詞,木頭 / 木材 / 樹林,"He can make a beautiful, straight table out of wood.（他能用木頭做一張漂亮、筆直的桌子。）"
wool,[wʊl],名詞 / 形容詞,羊毛 / 毛製的,He wore a warm wool coat during his train journey.（他在火車旅程中穿著一件溫暖的羊毛大衣。）
word,[wɝd],名詞,字 / 詞 / 話語,This document explains the proper use of every Basic English word.（這份文件解釋了每個基本英語單字的正確用法。）
work,[wɝk],名詞,工作 / 勞動,Proper process training is necessary for safety at work.（適當的製程培訓對於工作安全是必要的。）
worm,[wɝm],名詞,蠕蟲,A little bird on the grass was looking for a worm.（草地上的小鳥正在尋找一隻蠕蟲。）
wound,[wund],名詞,傷口 / 創傷,The doctor put a clean cloth cover over his arm wound.（醫生在他手臂的傷口上蓋了一塊乾淨的布。）
writing,[ˈraɪtɪŋ],名詞,書寫 / 寫作 / 文字,The small writing in the manual is quite hard to read.（手冊裡的小字相當難讀。）
wrong,[rɔŋ],形容詞,錯誤的,He made a quick adjustment after checking the wrong reading.（在檢查到錯誤的讀數後，他迅速做出了調整。）
year,[jɪr],名詞,年 / 年份,They have been married for five happy years.（他們已經過了五年的幸福婚姻生活。）
yellow,[ˈjɛlo],形容詞 / 名詞,黃色的 / 黃色,The flame of the candle was bright and yellow in the dark.（在黑暗中，蠟燭的火焰又亮又黃。）
yes,[jɛs],副詞,是的,"Yes, it is possible to complete the technical review today.（是的，今天完成技術審查是有可能的。）"
yesterday,[ˈjɛstɚde],名詞 / 副詞,昨天,The trade representative signed the final agreement yesterday.（貿易代表昨天簽署了最終協議。）
you,[ju],代名詞,你 / 你們,"If you have any questions, please ask the supervisor.（如果您有任何問題，請詢問主管。）"
young,[jʌŋ],形容詞,年輕的 / 幼小的,Teaching young children requires a large amount of care.（教導幼兒需要高度的細心與照顧。）
